TeamId,TeamName,SubmissionDate,Score
26150,"Gabe Neslin","2012-10-21 02:18:41",0.76555
34454,"Raghavendra Rao","2013-02-11 17:35:40",0.77033
34454,"Raghavendra Rao","2013-02-18 17:00:18",0.78468
34454,"Raghavendra Rao","2013-02-20 17:17:28",0.78947
44242,preda,"2013-05-24 02:06:03",0.74162
44242,preda,"2013-05-24 03:17:43",0.77511
44242,preda,"2013-05-24 03:56:56",0.78468
46567,js942,"2013-06-09 00:59:21",0.77990
47274,micio1970,"2013-06-10 21:05:24",0.76555
47274,micio1970,"2013-06-12 22:15:55",0.77990
49829,"Mark Cheeseman","2013-06-16 13:04:20",0.77990
51005,"Tim Rix","2013-06-17 23:21:15",0.64593
51005,"Tim Rix","2013-06-17 23:44:56",0.75119
52743,wellingo,"2013-07-04 15:43:39",0.79425
51885,"Garret Vo","2013-07-21 21:12:00",0.69377
53751,"Arnaud Bouchard","2013-07-22 13:29:39",0.76555
54939,"Philip Charles Stevens","2013-08-09 16:05:50",0.76555
61919,miguelmalvarez,"2013-10-19 15:53:52",0.66985
61919,miguelmalvarez,"2013-10-19 16:23:42",0.74162
61919,miguelmalvarez,"2013-10-19 17:36:19",0.78468
64703,dominic,"2013-11-11 09:32:35",0.72248
65760,"Alan Chalk","2013-11-18 22:35:18",0.76555
88321,"Saravana Kumar Rajasekaran","2014-04-17 10:04:22",0.76555
88321,"Saravana Kumar Rajasekaran","2014-04-17 10:12:53",0.77990
88321,"Saravana Kumar Rajasekaran","2014-04-18 09:24:12",0.78468
89882,"Phil Culliton","2014-04-23 23:07:23",0.62679
89882,"Phil Culliton","2014-04-23 23:13:03",0.76555
89882,"Phil Culliton","2014-04-23 23:21:27",0.77990
89882,"Phil Culliton","2014-04-23 23:30:37",0.78468
89882,"Phil Culliton","2014-04-24 00:03:40",0.79425
89882,"Phil Culliton","2014-04-24 00:28:39",0.80382
89882,"Phil Culliton","2014-04-24 01:06:32",0.80861
89882,"Phil Culliton","2014-04-24 01:12:49",0.81339
89882,"Phil Culliton","2014-04-24 02:42:17",0.81818
93051,"Claudio 2","2014-05-05 16:47:21",0.76555
93915,Redlegionnaire,"2014-05-11 18:50:54",0.77511
95835,yamada,"2014-05-21 17:13:37",0.77511
60878,"Jeff Moser","2014-06-16 16:11:29",0.76555
60878,"Jeff Moser","2014-06-16 16:44:13",0.78947
109093,nel.d,"2014-08-01 06:38:01",0.59330
112402,"Artyom Fedosov","2014-08-16 08:25:35",0.77990
112402,"Artyom Fedosov","2014-08-16 18:03:03",0.78468
112796,"Pablo 2","2014-08-18 09:34:38",0.77511
113681,"Michael Reynolds","2014-08-21 02:16:28",0.77990
115014,RReader,"2014-08-30 19:31:57",0.76555
115368,EA_Kaggle,"2014-09-02 13:12:19",0.62679
115368,EA_Kaggle,"2014-09-02 13:19:09",0.76555
115368,EA_Kaggle,"2014-09-02 13:32:08",0.77990
115368,EA_Kaggle,"2014-09-02 13:54:42",0.78468
115368,EA_Kaggle,"2014-09-03 12:23:42",0.79904
115368,EA_Kaggle,"2014-09-05 15:09:30",0.81339
116840,蔡忠廷,"2014-09-12 07:40:05",0.76555
116840,蔡忠廷,"2014-09-12 08:41:55",0.77033
121525,mglissmann,"2014-10-15 03:35:48",0.76555
121525,mglissmann,"2014-10-16 00:17:03",0.77033
120177,gregchase,"2014-10-16 01:29:24",0.76555
121525,mglissmann,"2014-10-16 06:50:39",0.77990
121525,mglissmann,"2014-10-19 22:42:29",0.78468
120177,gregchase,"2014-10-27 22:19:14",0.77990
120177,gregchase,"2014-10-30 01:50:31",0.78468
120177,gregchase,"2014-11-04 03:04:36",0.79425
120177,gregchase,"2014-11-05 03:42:38",0.81339
